"Section";"Article";"Contenu"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.9.1";"Équipement de construction................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.10";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.10.1";"Chauffage temporaire..........................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.11";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.11.1";"Alimentation en vapeur........................................................................"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.12";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.12.1";"Alimentation en gaz sous pression......................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.13";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.13.1";"Soudage et découpage.........................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.14";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.14.1";"Creusements, excavations et tranchées................................................"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.15";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.15.1";"Manutention et entreposage des matériaux.........................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.16";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.16.1";"Démolition............................................................................................"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.18";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.18.1";"Travail sur échasses............................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.19";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.19.1";"Décapage au jet d’abrasif...................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.20";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.20.1";"Travail dans un espace clos.................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.21";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.21.1";"Travail en milieu isolé.........................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.22";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.22.1";"Travaux susceptibles d’émettre de la poussière d’amiante.................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.23";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.23.0.1";"Travaux de montage ou de démontage d’une charpente métallique...."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.24";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.24.1";"MONTAGE D’UNE CHARPENTE MÉTALLIQUE.............................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.24.8";"DÉMONTAGE D’UNE CHARPENTE MÉTALLIQUE........................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.24.21";"Travaux susceptibles d’émettre de la poussière de silice cristalline...."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.25";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.25.1";"SECTION IV
MANUTENTION ET USAGE DES EXPLOSIFS
Dispositions générales..........................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.1";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.1.1";"Certificat de boutefeu............................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.2";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.2.1";"Transport des explosifs..........................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.3";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.3.1";"Entreposage des explosifs......................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.4";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.4.1";"Forage...................................................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.5";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.5.1";"Chargement des trous de mine..............................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.6";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.6.1";"Mise à feu..............................................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.7";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.7.1";"Travaux après le sautage........................................................................"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.8";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 4.8.1";"SECTION V
TRA V AIL PRÈS D’UNE LIGNE ÉLECTRIQUE
Champ d’application.............................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 5.1";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 5.1.1";"Interdictions............................................................................................"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 5.2";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 5.2.1";"Pancarte d’avertissement......................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 5.3";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 5.3.1";"SANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 2.1";", r. 4 / 2 sur 222"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.1";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.1.1";"Mise en place du béton..........................................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.2";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.2.1";"Exception................................................................................................"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.3";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.3.1";"Matériaux..............................................................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.4";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.4.1";"Surface d’appui......................................................................................"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.5";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.5.1";"Éléments d’étaiement............................................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.6";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.6.1";"Contreventement....................................................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.7";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.7.1";"Étaiement des constructions à étages multiples....................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.8";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.8.1";"Démontage de l’étaiement et du coffrage..............................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.9";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 6.9.1";"SECTION VII
OUTILS PORTATIFS
Dispositions générales..........................................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 7.0";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 7.0.1";"Dispositions particulières relatives à certains outils portatifs..............."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 7.1";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 7.1.1";"Pistolet de scellement........................................................................ §"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 7.1.1";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 7.1.1.1";"Cloueuse............................................................................................ §"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 7.1.2";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 7.1.2.1";"Scies................................................................................................... §"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 7.1.3";". — 
Scie circulaire............................................................................... §§"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 7.1.3.1";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 7.1.3.1.1";"Scie à chaîne................................................................................. §§"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 7.1.3.2";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 7.1.3.2.1";"SECTION VIII
CHANTIERS SOUTERRAINS
Prévention et protection contre les incendies........................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.1";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.1.1";"Stabilité du sol........................................................................................"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.2";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.2.1";"Ventilation et qualité de l’air.................................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.3";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.3.1";"Explosifs................................................................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.4";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.4.1";"Forage...................................................................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.5";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.5.1";"Transport du personnel et des matériaux dans un puits........................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.6";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.6.1";"Circulation.............................................................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.7";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.7.1";"Chargement et transport........................................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.8";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.8.1";"Hygiène..................................................................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.9";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.9.1";"Éclairage.............................................................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.10";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.10.1";"Communication et signaux standards..................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.11";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.11.1";"Mesures d’urgence..............................................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.12";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.12.1";"Âge minimal.........................................................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.13";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 8.13.1";"SECTION IX  (Abrogée)
SECTION X
TRA V AUX SUR LES CHEMINS OUVERTS À LA CIRCULATION
Définitions............................................................................................"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 10.1";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 10.1.1";"Champ d’application............................................................................"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 10.2";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 10.2.1";"Signalisation routière..........................................................................."
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 10.3";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 10.3.1";"Autres précautions................................................................................"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 10.4";". —"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 10.4.1";"SANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"SECTION VI
ÉTAIEMENT DES COFFRAGES A BÉTON";"Art. 2.1";", r. 4 / 3 sur 222"
"SECTION XI
TRA V AUX AU-DESSUS OU À PROXIMITÉ DE L’EAU............................... 11.1";"Art. 11.1";"ANNEXE"
"SECTION XI
TRA V AUX AU-DESSUS OU À PROXIMITÉ DE L’EAU............................... 11.1";"Art. 0.1";"ANNEXE"
"SECTION XI
TRA V AUX AU-DESSUS OU À PROXIMITÉ DE L’EAU............................... 11.1";"Art. 0.2";"ANCRAGES D’UN ÉCHAFAUDAGE DE MOINS DE 18 M LORSQU’UNE
TOILE OU UN FILET EST UTILISÉ
ANNEXE 1  (Abrogée)
ANNEXE 2
ANNEXE"
"SECTION XI
TRA V AUX AU-DESSUS OU À PROXIMITÉ DE L’EAU............................... 11.1";"Art. 2.1";"(Abrogée).
ANNEXE"
"SECTION XI
TRA V AUX AU-DESSUS OU À PROXIMITÉ DE L’EAU............................... 11.1";"Art. 2.2";"ANNEXE"
"SECTION XI
TRA V AUX AU-DESSUS OU À PROXIMITÉ DE L’EAU............................... 11.1";"Art. 2.3";"ANNEXE"
"SECTION XI
TRA V AUX AU-DESSUS OU À PROXIMITÉ DE L’EAU............................... 11.1";"Art. 2.4";"(Abrogée)
ANNEXE"
"SECTION XI
TRA V AUX AU-DESSUS OU À PROXIMITÉ DE L’EAU............................... 11.1";"Art. 2.5";"(Abrogée)
ANNEXE"
"SECTION XI
TRA V AUX AU-DESSUS OU À PROXIMITÉ DE L’EAU............................... 11.1";"Art. 2.6";"ANNEXE 3  (Abrogée)
ANNEXE"
"SECTION XI
TRA V AUX AU-DESSUS OU À PROXIMITÉ DE L’EAU............................... 11.1";"Art. 3.1";"(Abrogée)
ANNEXE"
"SECTION XI
TRA V AUX AU-DESSUS OU À PROXIMITÉ DE L’EAU............................... 11.1";"Art. 3.2";"(Abrogée)
ANNEXE 4
ANNEXE 5
ANNEXE"
"SECTION XI
TRA V AUX AU-DESSUS OU À PROXIMITÉ DE L’EAU............................... 11.1";"Art. 5.1";"(Remplacée)
ANNEXE"
"SECTION XI
TRA V AUX AU-DESSUS OU À PROXIMITÉ DE L’EAU............................... 11.1";"Art. 5.2";"(Remplacée)
ANNEXE"
"SECTION XI
TRA V AUX AU-DESSUS OU À PROXIMITÉ DE L’EAU............................... 11.1";"Art. 5.3";"(Remplacée)
ANNEXE 6
ANNEXE 7  (Abrogée)
ANNEXE 8
ANNEXE 9
ANNEXE 10SANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"SECTION XI
TRA V AUX AU-DESSUS OU À PROXIMITÉ DE L’EAU............................... 11.1";"Art. 2.1";", r. 4 / 4 sur 222"
"SECTION I
DÉFINITIONS";"Art. 1.1";".  Dans le présent code, sauf disposition contraire, les expressions et mots suivants signifient ou
désignent:
1. «accessoire de sautage» : toute substance explosive servant à la mise à feu des explosifs;"
"SECTION I
DÉFINITIONS";"Art. 1.1";". «ACNOR» : Association canadienne de normalisation;"
"SECTION I
DÉFINITIONS";"Art. 1.2";". «amiante»  : la forme fibreuse des silicates minéraux appartenant aux roches métamorphiques du
groupe des serpentines, c’est-à-dire le chrysotile, et du groupe des amphiboles, c’est-à-dire l’actinolite,
l’amosite, l’anthophyllite, le crocidolite, le trémolite, ou tout mélange contenant un ou plusieurs de ces
minéraux;"
"SECTION I
DÉFINITIONS";"Art. 1.3";". «aire de recul» : un espace balisé réservé aux manoeuvres de recul des véhicules automoteurs;
2. «appareil de levage de matériaux » : appareil conçu pour le levage de matériaux, tels une grue, un pont
roulant ou un chariot élévateur à plate-forme ou à fourche;"
"SECTION I
DÉFINITIONS";"Art. 2.1";". «appareil de levage de personnes » : appareil conçu pour lever des personnes, tels un engin élévateur
à nacelle, une plate-forme élévatrice automotrice à flèche articulée ou télescopique ou une plate-forme
automotrice à ciseaux;
3. «ASTM» : l’American Society for Testing and Materials;"
"SECTION I
DÉFINITIONS";"Art. 3.1";". «bruits impulsionnels » : bruits de courte durée (généralement moins d’une seconde), atteignant un
niveau très élevé, caractérisés par une élévation brusque et une décroissance rapide du niveau sonore. Le
paramètre utilisé pour la mesure des bruits impulsionnels est le niveau de pression acoustique de crête
pondéré C;
4. (paragraphe abrogé);
5. (paragraphe abrogé);
6. (paragraphe abrogé);
7. «boulonnage»  : méthode de soutènement des parois par des boulons ou autres dispositifs similaires
ancrés dans le roc;"
"SECTION I
DÉFINITIONS";"Art. 7.0.0";". «calculette»  : outil de calcul permettant d’évaluer le niveau d’exposition quotidienne au bruit (LEX,
8h ou Lex,8h) aux fins de la réduction du temps d’exposition quotidienne au bruit des travailleurs;"
"SECTION I
DÉFINITIONS";"Art. 7.0";". «CAN/CSA» : Canadian Standards Association;"
"SECTION I
DÉFINITIONS";"Art. 7.1";". «corde d’assurance » : corde de fibres synthétiques, câble en acier ou sangle fixée à un système
d’ancrage et servant à guider un coulisseau;
8. «chantier de construction qui présente un risque élevé» : un chantier
a) d’excavation de 6 m de profondeur ou plus;
b) de tranchée, au sens du paragraphe 34 du présent article, de 50 m ou plus de longueur;
c) où sont effectués des travaux d’aqueduc ou d’égout sur une longueur de 50 m ou plus;SANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"SECTION I
DÉFINITIONS";"Art. 2.1";", r. 4 / 5 sur 222"
"SECTION I
DÉFINITIONS";"Art. 3.23.2";"du présent
Code;"
"SECTION I
DÉFINITIONS";"Art. 8.1";". «chantier de construction de grande importance » : un chantier où sont employés simultanément au
moins 500 travailleurs à un moment donné des travaux;
9. «chantier souterrain » : un chantier de construction où s’effectuent des travaux reliés à l’excavation de
tunnels ou de puits;
10. «charge nominale» : charge maximale établie par le fabricant;
11. «construction incombustible» : construction dont les membres de la charpente y compris les planchers
et les assemblages sont faits de matériaux incombustibles;
12. (paragraphe abrogé);"
"SECTION I
DÉFINITIONS";"Art. 12.0";". «cordon d’assujettissement » : corde ou sangle dont une extrémité est fixée au harnais de sécurité et
dont l’autre extrémité est fixée à un système d’ancrage ou à un autre élément d’une liaison d’arrêt de chute;"
"SECTION I
DÉFINITIONS";"Art. 12.1";". «creusement» : tout trou creusé dans le sol, y compris une excavation ou une tranchée;
13. «dépôt» : bâtiment, construction ou coffre dans lequel des explosifs sont entreposés;"
"SECTION I
DÉFINITIONS";"Art. 13.1";". (paragraphe abrogé);"
"SECTION I
DÉFINITIONS";"Art. 13.2";". «dBA»  : pondération A - cette pondération réduit l’importance des fréquences extrêmes, en
particulier les basses fréquences sous 200 Hz, et augmente celle des fréquences voisines de 2 500 Hz. La
pondération A doit être utilisée pour toutes les mesures nécessaires pour évaluer le LEX,8h ou Lex,8h;"
"SECTION I
DÉFINITIONS";"Art. 13.3";". «dBC»  : pondération C - cette pondération réduit l’importance des fréquences égales ou inférieures
à 31 Hz et de celles égales ou supérieures à 8 000 Hz. La pondération C doit être utilisée pour toutes les
mesures nécessaires pour évaluer le niveau de pression acoustique de crête;SANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"SECTION I
DÉFINITIONS";"Art. 2.1";", r. 4 / 6 sur 222"
"SECTION I
DÉFINITIONS";"Art. 14.1";". «échafaudage à crics » : un échafaudage à tour et à plate-forme constitué d’une plate-forme de
travail qui se déplace le long de 2 colonnes au moyen de crics;"
"SECTION I
DÉFINITIONS";"Art. 14.2";". « échafaudage à tour et à plate-forme » : un échafaudage constitué d’une plate-forme de travail qui se
déplace, en montée et en descente au moyen d’un système de levage, le long d’une ou de plusieurs colonnes
ainsi que d’un système d’amarrage;"
"SECTION I
DÉFINITIONS";"Art. 14.3";". «échafaudage à treuils » : un échafaudage à tour et à plate-forme dont les colonnes sont reliées par
des entretoises ou des croisillons supportant une plate-forme de travail qui se déplace au moyen d’un système
de levage fait de treuils, de poulies et de câbles;
15. «échafaudage d’étaiement» : assemblage de cadres d’échafaudage tubulaire utilisé pour l’étaiement de
coffrages à béton;"
"SECTION I
DÉFINITIONS";"Art. 15.01";". «échafaudage motorisé» : un échafaudage à tour et à plate-forme constitué d’un système de levage
fait d’un moteur électrique, pneumatique, hydraulique, au gaz ou à l’essence;"
